"SimID","Size","LambdaIntDev","LambdaSlopeDev","IntraIntDev","IntraSlopeDev","GenericIntDev","GenericSlopeDev","NonGenericIntDev","NonGenericSlopeDev","NumNonGenericInt","NumNonGenericSlope","NumNonGenericSpecies","RMSE","PrelimMaxRhat","PrelimNumDiv","PrelimMeanNeff","FinalMaxRhat","FinalNumDiv","FinalMeanNeff"
873,200,0.0320364165364124,0.0462130335537522,0.0849136161098962,0.07578664592906,-0.386224386408531,0.271496065362465,-0.577666170640619,-0.0994672108254337,1,1,1,0.231358039912546,1.00346430694553,0,3754.54892052315,1.00086637613911,0,6365.06768539854
874,10,0.230632572281495,0.0840812287519296,0.578595787661273,-0.00208588147681156,-1.60404720468489,0.0534493494570119,NA,NA,0,0,0,0.468227185932991,1.00282553647551,1,4359.8171591079,1.00059399559424,0,6004.26035816383
874,50,0.0344952810414283,-0.000142705477892635,0.194859178691645,0.102375568032213,-1.18706982031249,-0.150170480853065,NA,NA,0,0,0,0.256217670266291,1.00248073565128,1,3750.41800505732,1.00292719836619,0,6319.78194948973
874,200,0.0124177799095655,0.0129308921363108,0.0777461446009209,0.0457652076960099,-0.715771638319834,-0.00904620317399811,0.538260941691836,-0.387295717877127,1,1,2,0.225808706793501,1.0020931706577,0,3941.06401374502,1.0007046869609,0,4831.866202499
875,10,-0.0549717980158965,0.127270437984378,-3.17227173893522,0.252408792146471,-0.295216246235533,-0.285865308373221,NA,NA,0,0,0,0.576529836698507,1.00218400037957,0,4316.58083536402,1.0008952145831,0,7819.47347999448
875,50,0.0646924284167858,-0.0384941116620837,0.0771528004934203,0.0697896399258484,-0.223704103148106,-0.293426558898732,NA,NA,0,0,0,0.438385534734342,1.00422824612654,0,4437.32552965908,1.00119873732723,0,7550.63240444437
875,200,0.034552609245927,-0.00359188457818917,0.215507759990813,0.303252612636585,-0.399805681776606,-0.078135104963154,0.234218292350237,NA,1,0,1,0.414830720283698,1.00395677099938,0,4337.72871735353,1.00061697124266,0,7020.39458665155
876,10,-0.268995074736651,0.0604127226590796,-0.473564678268588,0.289969348433603,-0.352466038307234,0.103703082992354,NA,NA,0,0,0,0.503987739844894,1.00661065471627,0,4229.80174102846,1.00355920456011,0,5857.65785656853
876,50,-0.175163840119486,0.035039207211311,-0.171680007496767,0.108293818832258,-0.304198623029603,0.150985591767914,NA,NA,0,0,0,0.278445349547662,1.00250121906885,0,4204.32650248477,1.00188645979233,0,7411.44800209317
876,200,-0.0262397580222087,0.0111576921380862,0.0205157150048807,0.0457166265469731,-0.338698144841328,-0.298636445671212,0.201876508326333,NA,1,0,1,0.25974319203988,1.00173573207909,2,4054.45333462459,1.00308201835511,0,7233.52115486113
877,10,-0.21505811155858,0.356043427866937,-1.20605225539516,0.171711688102061,-0.513767089501427,0.0817559194735897,NA,NA,0,0,0,0.516452198528983,1.00301127319293,0,4795.68385793975,1.00129921973149,0,5620.31491798426
877,50,-0.102543222115201,-0.0593628061109266,-0.324117269092175,0.141990664618828,-0.013742285506126,-0.81699379458962,NA,NA,0,0,0,0.357752872951656,1.0021093148841,0,4509.39235374737,1.00205916770576,0,6055.30497663595
877,200,0.106321124808884,0.00178901416559774,0.224960659901577,-0.0415294224531333,0.0904889245663574,-0.432552410276432,0.14097538832125,-0.377604283625581,1,1,1,0.32888557909284,1.00256346859147,1,3930.57151812773,1.00065273349823,0,6505.07957247937
878,10,0.12375982538451,0.0843059149121701,0.412812273198799,-0.120064550043187,-1.42991139538274,-0.332693788068885,NA,NA,0,0,0,0.500739889682815,1.00241270689613,0,4250.09027274417,1.00099270553304,0,6204.79596892945
878,50,0.103508311481997,-0.0743465593563565,0.445927372178548,-0.34861267184122,-1.60154435637537,-0.232407656053459,NA,NA,0,0,0,0.381810735773362,1.00311478424072,0,3420.12562951666,1.00205914074913,0,7019.63250372878
878,200,0.0164288232224541,-0.0416669401062011,0.0130794167232566,-0.0162400242209241,0.0302642399381821,0.144921895559442,-0.384707207375136,0.0544836220519831,1,2,2,0.321849579772694,1.00231301678828,0,4020.60410650587,1.00278195663466,0,6266.95930953355
879,10,-0.197004856950033,-0.172568210006994,-2.67060978332402,-1.33085877248465,-2.5206249880528,-0.0613014936873983,NA,NA,0,0,0,0.524497596266255,1.0015905749482,0,4689.15805888609,1.00203270270188,0,5955.03595351465
879,50,-0.0739502087257755,-0.186578767783177,0.293948159857647,-0.871991824207195,-1.20217270746457,0.0328033806236436,NA,NA,0,0,0,0.434446492294072,1.01066362900609,0,3870.98461290174,1.0006390101942,0,6501.48997442662
879,200,-0.0746769731559478,-0.102362101564239,0.299860497197132,-0.269200065426138,-1.08934934497564,0.117259667523698,NA,-2.7378191863871,0,1,1,0.426465710498643,1.00222318136019,0,4693.10064415459,1.00124598788088,0,4681.26004319253
880,10,-0.738634790251328,0.301471917887833,-0.942610106978733,1.66485762246515,-1.94152661791791,-0.303923350958906,NA,NA,0,0,0,0.469672662507182,1.00442559095053,0,3824.72547077085,1.00239161077354,0,5237.44096444287
880,50,-0.304021275166855,0.0490025466735853,-0.154694975710712,0.709724824923288,0.269778159199556,-0.868773956712629,NA,NA,0,0,0,0.393990941181019,1.00125765625877,0,4992.64881470968,1.00138735695027,0,6144.94604934818
880,200,-0.042991463736229,-0.0279707400108385,-0.0256482209498898,0.0337509199400263,0.295884775693806,0.231896208669484,0.0159134221554567,0.561488164783634,2,1,3,0.351090088177615,1.00430309107647,0,3734.06982060837,1.00065595994017,0,5212.35001000041
881,10,-0.179348865374075,-0.0658561916895511,-0.206872462745529,-0.036701150707841,-0.884388647438022,0.255117419861178,NA,NA,0,0,0,0.269279824590479,1.00392328514898,2,3537.57766629212,1.00052481875321,0,7685.2216619035
881,50,-0.0551795414909069,-0.0601192589852917,-0.00415751781775553,-0.0482451966882415,-1.98217324892851,-0.083575648139412,NA,NA,0,0,0,0.244306959509659,1.00313267567003,0,4520.44365706195,1.00324732388739,0,5963.60169786275
881,200,-0.0208650879229437,-0.0479295210359519,-0.00212071179422191,-0.0374260286837084,-0.483440823830241,-0.0979893161578607,-0.550625281344054,NA,1,0,1,0.222751418864698,1.00161181046325,3,4963.38962713297,1.00063099684506,0,5825.07946703867
882,10,0.121776209338025,0.0926521755478451,0.183453288388042,0.102322315047155,-0.507791405208897,-0.0668571895475153,NA,NA,0,0,0,0.287726040760788,1.00334375784246,0,4571.52621709727,1.00120772626664,0,5460.53296655031
882,50,-0.0543403425178159,-0.0367577443658629,0.00218811574819799,0.00277098296562028,-0.921606341712194,0.339712175944806,NA,NA,0,0,0,0.249888845602107,1.00185976047876,0,5314.05586434055,1.00307355716491,0,5756.67925410354
882,200,-0.0294615594297236,-0.0337562937347067,-0.00725344885702572,-0.0286772923084992,-0.687916469612941,0.518932947737513,NA,NA,0,0,0,0.246305595010739,1.00342621535504,0,4027.81901886763,1.00089580429096,0,5947.81933754118
883,10,0.0189976482464418,0.401011773379227,0.15424179036563,0.310568428775111,-0.937525770749954,-0.0774392934914329,NA,NA,0,0,0,0.371509483732637,1.00272105015927,0,4044.47107690736,1.001199884155,0,5250.53461536242
