"","species","run","run.env","time","pop","thinned"
"5709","9",191,0.0691068051329599,0,0,0
"5710","10",191,0.0691068051329599,0,0,0
"5711","11",191,0.0691068051329599,0,0,0
"5712","12",191,0.0691068051329599,0,38,0
"5713","13",191,0.0691068051329599,0,0,0
"5714","14",191,0.0691068051329599,0,58,0
"5715","15",191,0.0691068051329599,0,0,0
"5716","1",191,0.0691068051329599,1,0,0
"5717","2",191,0.0691068051329599,1,0,0
"5718","3",191,0.0691068051329599,1,41,0
"5719","4",191,0.0691068051329599,1,61,0
"5720","5",191,0.0691068051329599,1,0,0
"5721","6",191,0.0691068051329599,1,0,0
"5722","7",191,0.0691068051329599,1,7,0
"5723","8",191,0.0691068051329599,1,54,0
"5724","9",191,0.0691068051329599,1,0,0
"5725","10",191,0.0691068051329599,1,0,0
"5726","11",191,0.0691068051329599,1,0,0
"5727","12",191,0.0691068051329599,1,41,0
"5728","13",191,0.0691068051329599,1,0,0
"5729","14",191,0.0691068051329599,1,82,0
"5730","15",191,0.0691068051329599,1,0,0
"5731","1",192,-0.971974207709824,0,21,0
"5732","2",192,-0.971974207709824,0,0,0
"5733","3",192,-0.971974207709824,0,9,0
"5734","4",192,-0.971974207709824,0,0,0
"5735","5",192,-0.971974207709824,0,0,0
"5736","6",192,-0.971974207709824,0,0,0
"5737","7",192,-0.971974207709824,0,21,0
"5738","8",192,-0.971974207709824,0,151,0
"5739","9",192,-0.971974207709824,0,4,0
"5740","10",192,-0.971974207709824,0,0,0
"5741","11",192,-0.971974207709824,0,0,0
"5742","12",192,-0.971974207709824,0,11,0
"5743","13",192,-0.971974207709824,0,0,0
"5744","14",192,-0.971974207709824,0,0,0
"5745","15",192,-0.971974207709824,0,0,0
"5746","1",192,-0.971974207709824,1,26,0
"5747","2",192,-0.971974207709824,1,0,0
"5748","3",192,-0.971974207709824,1,7,0
"5749","4",192,-0.971974207709824,1,0,0
"5750","5",192,-0.971974207709824,1,0,0
"5751","6",192,-0.971974207709824,1,0,0
"5752","7",192,-0.971974207709824,1,14,0
"5753","8",192,-0.971974207709824,1,74,0
"5754","9",192,-0.971974207709824,1,2,0
"5755","10",192,-0.971974207709824,1,0,0
"5756","11",192,-0.971974207709824,1,0,0
"5757","12",192,-0.971974207709824,1,8,0
"5758","13",192,-0.971974207709824,1,0,0
"5759","14",192,-0.971974207709824,1,0,0
"5760","15",192,-0.971974207709824,1,0,0
"5761","1",193,0.681712262417778,0,76,0
"5762","2",193,0.681712262417778,0,0,0
"5763","3",193,0.681712262417778,0,22,0
"5764","4",193,0.681712262417778,0,0,0
"5765","5",193,0.681712262417778,0,0,0
"5766","6",193,0.681712262417778,0,0,0
"5767","7",193,0.681712262417778,0,3,0
"5768","8",193,0.681712262417778,0,0,0
"5769","9",193,0.681712262417778,0,0,0
"5770","10",193,0.681712262417778,0,3,0
"5771","11",193,0.681712262417778,0,0,0
"5772","12",193,0.681712262417778,0,15,0
"5773","13",193,0.681712262417778,0,0,0
"5774","14",193,0.681712262417778,0,130,0
"5775","15",193,0.681712262417778,0,0,0
"5776","1",193,0.681712262417778,1,104,0
"5777","2",193,0.681712262417778,1,0,0
"5778","3",193,0.681712262417778,1,25,0
"5779","4",193,0.681712262417778,1,0,0
"5780","5",193,0.681712262417778,1,0,0
"5781","6",193,0.681712262417778,1,0,0
"5782","7",193,0.681712262417778,1,1,0
"5783","8",193,0.681712262417778,1,0,0
"5784","9",193,0.681712262417778,1,0,0
"5785","10",193,0.681712262417778,1,7,0
"5786","11",193,0.681712262417778,1,0,0
"5787","12",193,0.681712262417778,1,21,0
"5788","13",193,0.681712262417778,1,0,0
"5789","14",193,0.681712262417778,1,123,0
"5790","15",193,0.681712262417778,1,0,0
"5791","1",194,0.27433908715877,0,79,0
"5792","2",194,0.27433908715877,0,0,0
"5793","3",194,0.27433908715877,0,0,0
